dataset,n_classes,features,sample_rate,noise_rate,epochs,batch_size,restore_best,model,data_length_time,n_h_block,n_train_h_block,n_valid_h_block,n_test_h_block,h_moving_step,segments_times,segments_overlaps,decision_times,decision_overlaps,inner_classifier,datetime,running_time,n_params,Core_mse_loss_mean,Core_mse_loss_std,Core_f1_mean,Core_f1_std,MS_mse_loss_mean,MS_mse_loss_std,MS_f1_mean,MS_f1_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/WISDM/,10,"['X-accel', 'Y-accel', 'Z-accel']",20,100,20,32,1,MULTI_CNN,-1,15,9,2,4,1,00:00:04,0.75,00:05:00,0,MULTI_CNN,2022:03:28 10:11:10,18584 seconds,3967962,0.056612109,0.007928416,0.668844843,0.044337273,0.036505453,0.006604458,0.75363708,0.065847386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/WISDM/,10,"['X-accel', 'Y-accel', 'Z-accel']",20,100,20,32,1,CNN_L,-1,15,9,2,4,1,00:00:04,0.75,00:05:00,0,CNN_L,2022:03:28 16:25:20,8091 seconds,1330554,0.0573388,0.009642327,0.654733309,0.054601898,0.038099288,0.007373464,0.73554014,0.074335022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/WISDM/,10,"['X-accel', 'Y-accel', 'Z-accel']",20,100,20,32,1,MLP,-1,15,9,2,4,1,00:00:04,0.75,00:05:00,0,MLP,2022:03:28 16:52:57,1657 seconds,257034,0.065212524,0.007377698,0.536094849,0.056410513,0.051671208,0.005670585,0.583705472,0.094664988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/WISDM/,10,"['X-accel', 'Y-accel', 'Z-accel']",20,100,20,32,1,KNN,-1,15,9,2,4,1,00:05:00,0.75,00:05:00,0,KNN,2022:03:28 17:00:54,169 seconds,-1,0.083428576,0.013884995,0.524889431,0.075731928,0.083428576,0.013884995,0.524889431,0.075731928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/WISDM/,10,"['X-accel', 'Y-accel', 'Z-accel']",20,100,20,32,1,LR,-1,15,9,2,4,1,00:05:00,0.75,00:05:00,0,LR,2022:03:28 17:08:40,466 seconds,-1,0.099102047,0.018192186,0.471600777,0.093305454,0.099102047,0.018192186,0.471600777,0.093305454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/WISDM/,10,"['X-accel', 'Y-accel', 'Z-accel']",20,100,20,32,1,RF,-1,15,9,2,4,1,00:05:00,0.75,00:05:00,0,RF,2022:03:28 17:09:52,72 seconds,-1,0.067387757,0.009267104,0.502243754,0.082170918,0.067387757,0.009267104,0.502243754,0.082170918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/WISDM/,10,"['X-accel', 'Y-accel', 'Z-accel']",20,100,20,32,1,SVM,-1,15,9,2,4,1,00:05:00,0.75,00:05:00,0,SVM,2022:03:28 17:45:02,2109 seconds,-1,0.135673489,0.011895985,0.281273814,0.050695246,0.135673489,0.011895985,0.281273814,0.050695246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/WISDM/,10,"['X-accel', 'Y-accel', 'Z-accel']",20,100,20,32,1,MLP,-1,15,9,2,4,1,00:05:00,0.75,00:05:00,0,MLP,2022:03:28 19:03:59,676 seconds,18443274,0.088836444,0.014581587,0.507405547,0.08252552,0.088836444,0.014581587,0.507405547,0.08252552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/WISDM/,10,"['X-accel', 'Y-accel', 'Z-accel']",20,100,20,32,1,CNN_L,-1,15,9,2,4,1,00:05:00,0.75,00:05:00,0,CNN_L,2022:03:28 20:50:54,5642 seconds,98323834,0.102669992,0.016983742,0.359215563,0.149787075,0.102669992,0.016983742,0.359215563,0.149787075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/RSSI/,12,"['rssiOne', 'rssiTwo']",1,100,20,32,1,KNN,-1,6,4,1,1,1,00:00:04,0.75,00:01:00,0,KNN,2022:03:28 22:46:50,14 seconds,-1,0.09318691,0.000917065,0.081533053,0.013043457,0.076274754,0.00054315,0.165617993,0.033528468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
